benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
abalone_benchmark_0052.csv,LOF,0.5148,0.5695,0.49,0.4483
abalone_benchmark_0052.csv,CBLOF,0.4883,0.4371,0.4858,0.4615
abalone_benchmark_0053.csv,ABOD,0.5584,0.7881,0.5652,0.8485
abalone_benchmark_0053.csv,KNN,0.5624,0.8079,0.5624,0.8438
abalone_benchmark_0053.csv,IForest,0.5187,0.5894,0.547,0.7222
abalone_benchmark_0053.csv,HBOS,0.5491,0.7417,0.5662,0.7805
abalone_benchmark_0053.csv,LOF,0.5187,0.5894,0.5167,0.5926
abalone_benchmark_0053.csv,CBLOF,0.5597,0.7947,0.5674,0.9
abalone_benchmark_0054.csv,ABOD,0.5482,0.7351,0.5659,0.7333
abalone_benchmark_0054.csv,KNN,0.5575,0.7815,0.5804,0.8235
abalone_benchmark_0054.csv,IForest,0.5125,0.5563,0.5374,0.7222
abalone_benchmark_0054.csv,HBOS,0.5488,0.7647,0.5595,0.9
abalone_benchmark_0054.csv,LOF,0.4992,0.4901,0.5332,0.6596
abalone_benchmark_0054.csv,CBLOF,0.5509,0.7483,0.5876,0.8214
abalone_benchmark_0055.csv,ABOD,0.5524,0.7748,0.5698,0.8372
abalone_benchmark_0055.csv,KNN,0.5616,0.8212,0.5783,0.9
abalone_benchmark_0055.csv,IForest,0.506,0.543,0.5198,0.625
abalone_benchmark_0055.csv,HBOS,0.5239,0.637,0.5442,0.7568
abalone_benchmark_0055.csv,LOF,0.5179,0.6026,0.5339,0.7143
abalone_benchmark_0055.csv,CBLOF,0.5656,0.8411,0.5857,0.907
abalone_benchmark_0056.csv,ABOD,0.5615,0.8079,0.5686,0.7647
abalone_benchmark_0056.csv,KNN,0.5668,0.8344,0.574,0.7959
abalone_benchmark_0056.csv,IForest,0.5125,0.5629,0.5427,0.7073
abalone_benchmark_0056.csv,HBOS,0.5323,0.6623,0.5665,0.8095
abalone_benchmark_0056.csv,LOF,0.5125,0.5629,0.4951,0.4878
abalone_benchmark_0056.csv,CBLOF,0.5005,0.5033,0.5243,0.6316
abalone_benchmark_0057.csv,ABOD,0.5436,0.7219,0.5818,0.881
abalone_benchmark_0057.csv,KNN,0.5462,0.7351,0.5716,0.8889
abalone_benchmark_0057.csv,IForest,0.5078,0.543,0.5234,0.6136
abalone_benchmark_0057.csv,HBOS,0.5384,0.736,0.5497,0.7174
abalone_benchmark_0057.csv,LOF,0.4985,0.4967,0.5267,0.6571
abalone_benchmark_0057.csv,CBLOF,0.533,0.6689,0.5447,0.7143
abalone_benchmark_0058.csv,ABOD,0.5542,0.7748,0.5467,0.7105
abalone_benchmark_0058.csv,KNN,0.5555,0.7815,0.549,0.7429
abalone_benchmark_0058.csv,IForest,0.5025,0.5166,0.514,0.5667
abalone_benchmark_0058.csv,HBOS,0.5171,0.5894,0.5216,0.6296
abalone_benchmark_0058.csv,LOF,0.5237,0.6225,0.4928,0.4333
abalone_benchmark_0058.csv,CBLOF,0.533,0.6689,0.5577,0.7381
abalone_benchmark_0059.csv,ABOD,0.5497,0.7682,0.5645,0.8529
abalone_benchmark_0059.csv,KNN,0.5604,0.8212,0.5724,0.8857
abalone_benchmark_0059.csv,IForest,0.4914,0.4768,0.4747,0.375
abalone_benchmark_0059.csv,HBOS,0.5338,0.6887,0.5275,0.6316
